GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bookstore,com.nhnacademy.bookstore.common.dto.response,SecretResponseDto.Header,12,0,0,0,1,0,1,0,1,0
bookstore,com.nhnacademy.bookstore.common.dto.response,MysqlKeyResponseDto,12,0,0,0,1,0,1,0,1,0
bookstore,com.nhnacademy.bookstore.common.dto.response,SecretResponseDto.Body,6,0,0,0,1,0,1,0,1,0
bookstore,com.nhnacademy.bookstore.common.error.exception.user.member.tier,MemberTierNotFoundException,0,7,0,0,0,2,0,1,0,1
bookstore,com.nhnacademy.bookstore.bookset.category.service.impl,CategoryServiceImpl,6,254,0,14,2,59,0,20,0,13
bookstore,com.nhnacademy.bookstore.review.dto.response,ReviewResponseDto,0,33,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.review.dto.response,ReviewCreateResponseDto,0,21,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.review.dto.response,ReviewTotalResponseDto,0,36,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.review.dto.response,ReviewModifyResponseDto,0,24,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.common.error.dto,ErrorResponseDto,0,21,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.paymentset.paymenthistory.entity,PaymentHistory,20,0,0,0,7,0,1,0,1,0
bookstore,com.nhnacademy.bookstore.shipment.dto.request,CarrierRequestDto,0,15,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.shipment.dto.request,ShipmentPolicyRequestDto,0,15,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.shipment.dto.request,ShipmentRequestDto,0,24,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.common.error.exception.bookset.publisher,PublisherNotFoundException,0,4,0,0,0,2,0,1,0,1
bookstore,com.nhnacademy.bookstore.global.config,ApplicationStatusController,8,0,0,0,3,0,1,0,1,0
bookstore,com.nhnacademy.bookstore.bookset.publisher.dto.response,PublisherResponseDto,0,9,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.bookset.publisher.dto.response,PublisherCreateResponseDto,0,9,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.common.error.exception.orderset.order,OrderPointInvalidException,6,0,0,0,2,0,1,0,1,0
bookstore,com.nhnacademy.bookstore.common.error.exception.orderset.order,OrderNotFoundException,0,4,0,0,0,2,0,1,0,1
bookstore,com.nhnacademy.bookstore.common.error.exception.bookset.tag,TagNotFoundException,0,4,0,0,0,2,0,1,0,1
bookstore,com.nhnacademy.bookstore.common.error.exception.bookset.tag,TagAlreadyAssignedBookException,0,4,0,0,0,2,0,1,0,1
bookstore,com.nhnacademy.bookstore.orderset.orderstate.dto.response,GetOrderStateResponse,17,0,0,0,4,0,2,0,2,0
bookstore,com.nhnacademy.bookstore.paymentset.status.enums,PaymentStatusType,0,21,0,0,0,2,0,1,0,1
bookstore,com.nhnacademy.bookstore.bookset.book.service.impl,BookServiceImpl,12,1332,7,59,0,303,7,55,0,29
bookstore,com.nhnacademy.bookstore.bookset.book.service.impl,BookServiceImpl.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.common.error.exception.bookset.contributor,ContributorIsDeactivateException,0,4,0,0,0,2,0,1,0,1
bookstore,com.nhnacademy.bookstore.common.error.exception.bookset.contributor,ContributorRoleNotFoundException,0,4,0,0,0,2,0,1,0,1
bookstore,com.nhnacademy.bookstore.common.error.exception.bookset.contributor,ContributorNotFoundException,0,4,0,0,0,2,0,1,0,1
bookstore,com.nhnacademy.bookstore.user.member.repository.impl,MemberQuerydslRepositoryImpl,0,168,0,8,0,24,0,6,0,2
bookstore,com.nhnacademy.bookstore.user.member.repository.impl,MemberAddressQuerydslRepositoryImpl,0,75,0,0,0,10,0,1,0,1
bookstore,com.nhnacademy.bookstore.point.controller,AdminPointController,0,41,0,0,0,11,0,5,0,5
bookstore,com.nhnacademy.bookstore.point.controller,PointController,0,25,0,0,0,5,0,3,0,3
bookstore,com.nhnacademy.bookstore.point.service.impl,PointTypeServiceImpl,0,86,0,0,0,26,0,4,0,4
bookstore,com.nhnacademy.bookstore.point.service.impl,PointServiceImpl,101,230,9,3,10,64,13,8,8,7
bookstore,com.nhnacademy.bookstore.point.service.impl,PointHistoryService,0,81,0,0,0,27,0,3,0,3
bookstore,com.nhnacademy.bookstore.review.mapper,ReviewMapperImpl,231,3,24,0,85,1,18,1,6,1
bookstore,com.nhnacademy.bookstore.review.mapper,ReviewMapper,0,5,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.like.service,LikeServiceImpl,0,143,0,6,0,30,0,9,0,6
bookstore,com.nhnacademy.bookstore.orderset.orderdetail.controller,OrderDetailController,0,18,0,0,0,4,0,2,0,2
bookstore,com.nhnacademy.bookstore.refund.repository.impl,RefundQuerydslRepositoryImpl,106,0,0,0,16,0,1,0,1,0
bookstore,com.nhnacademy.bookstore.review.controller,ReviewController,0,52,0,0,0,11,0,5,0,5
bookstore,com.nhnacademy.bookstore.user.member.entity,Member,0,64,0,0,0,18,0,4,0,4
bookstore,com.nhnacademy.bookstore.user.member.entity,MemberAddress,0,52,0,0,0,15,0,2,0,2
bookstore,com.nhnacademy.bookstore.common.error.exception.imageset,ImageUploadException,4,0,0,0,2,0,1,0,1,0
bookstore,com.nhnacademy.bookstore.common.error.exception.imageset,ImageNotFoundException,4,0,0,0,2,0,1,0,1,0
bookstore,com.nhnacademy.bookstore.coupon.mapper,CouponMapperImpl,110,0,6,0,37,0,6,0,3,0
bookstore,com.nhnacademy.bookstore.shipment.entity,Shipment,0,26,0,0,0,8,0,1,0,1
bookstore,com.nhnacademy.bookstore.shipment.entity,Carrier,0,17,0,0,0,5,0,1,0,1
bookstore,com.nhnacademy.bookstore.shipment.entity,ShipmentPolicy,0,30,0,0,0,10,0,3,0,3
bookstore,com.nhnacademy.bookstore.coupon.dto.response,CouponPolicyResponseDto,0,48,0,0,0,10,0,2,0,2
bookstore,com.nhnacademy.bookstore.coupon.dto.response,CouponResponseDto,0,21,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.coupon.dto.response,OrderCouponResponse,0,27,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.coupon.dto.response,MemberCouponResponseDto,0,24,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.admin.wrap.controller,WrapController,0,23,0,0,0,5,0,4,0,4
bookstore,com.nhnacademy.bookstore.point.dto.response,GetPointHistoryResponse,29,0,0,0,6,0,2,0,2,0
bookstore,com.nhnacademy.bookstore.point.dto.response,ReadPointTypeResponseDto,14,18,0,0,6,1,1,1,1,1
bookstore,com.nhnacademy.bookstore.point.dto.response,GetMyPageDetailPointHistoriesResponse,0,16,0,0,0,3,0,2,0,2
bookstore,com.nhnacademy.bookstore.point.dto.response,UpdatePointTypeResponseDto,0,18,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.point.dto.response,GetMyPageSimplePointHistoriesResponse,0,16,0,0,0,3,0,2,0,2
bookstore,com.nhnacademy.bookstore.point.dto.response,GetDetailPointHistoriesResponse,18,18,0,0,6,1,1,1,1,1
bookstore,com.nhnacademy.bookstore.point.dto.response,GetSimplePointHistoriesResponse,12,12,0,0,4,1,1,1,1,1
bookstore,com.nhnacademy.bookstore.point.dto.response,GetPointTypeResponse,14,18,0,0,6,1,1,1,1,1
bookstore,com.nhnacademy.bookstore.cart.mapper,CartMapperImpl,131,0,24,0,47,0,18,0,6,0
bookstore,com.nhnacademy.bookstore.like.controller,LikeController,0,27,0,0,0,6,0,3,0,3
